pixel_x,pixel_y,pixel_value,db_value,surface_type
1,149,190,-6.372549019607842,debris_rock
1,150,177,-7.647058823529413,mixed_snow_ice
1,151,175,-7.843137254901961,mixed_snow_ice
1,152,160,-9.313725490196079,clean_glacier_ice
1,153,165,-8.823529411764707,mixed_snow_ice
1,154,172,-8.137254901960784,mixed_snow_ice
1,155,184,-6.96078431372549,debris_rock
1,156,159,-9.411764705882353,clean_glacier_ice
1,157,158,-9.509803921568627,clean_glacier_ice
1,158,168,-8.529411764705884,mixed_snow_ice
1,159,200,-5.392156862745097,debris_rock
1,160,184,-6.96078431372549,debris_rock
1,161,199,-5.490196078431371,debris_rock
1,162,158,-9.509803921568627,clean_glacier_ice
1,163,153,-10.0,clean_glacier_ice
1,164,102,-15.0,regular_glacier_ice
1,165,130,-12.254901960784315,clean_glacier_ice
1,166,150,-10.294117647058822,clean_glacier_ice
1,178,168,-8.529411764705884,mixed_snow_ice
1,179,179,-7.450980392156865,mixed_snow_ice
1,180,126,-12.647058823529411,regular_glacier_ice
1,181,126,-12.647058823529411,regular_glacier_ice
1,182,238,-1.6666666666666679,debris_rock
1,183,218,-3.627450980392158,debris_rock
1,184,114,-13.823529411764705,regular_glacier_ice
1,185,112,-14.019607843137255,regular_glacier_ice
1,186,149,-10.392156862745097,clean_glacier_ice
1,187,161,-9.215686274509805,clean_glacier_ice
1,190,190,-6.372549019607842,debris_rock
1,191,118,-13.431372549019608,regular_glacier_ice
1,192,145,-10.784313725490197,clean_glacier_ice
1,198,205,-4.901960784313726,debris_rock
1,199,143,-10.980392156862745,clean_glacier_ice
1,200,223,-3.137254901960784,debris_rock
1,202,223,-3.137254901960784,debris_rock
1,203,203,-5.098039215686274,debris_rock
1,204,222,-3.235294117647058,debris_rock
1,205,228,-2.6470588235294095,debris_rock
1,206,182,-7.156862745098039,mixed_snow_ice
1,207,165,-8.823529411764707,mixed_snow_ice
1,208,165,-8.823529411764707,mixed_snow_ice
1,209,218,-3.627450980392158,debris_rock
1,210,195,-5.882352941176471,debris_rock
1,211,163,-9.019607843137257,mixed_snow_ice
1,212,168,-8.529411764705884,mixed_snow_ice
1,213,152,-10.098039215686274,clean_glacier_ice
1,214,154,-9.901960784313726,clean_glacier_ice
1,215,135,-11.76470588235294,clean_glacier_ice
1,216,209,-4.509803921568629,debris_rock
1,217,236,-1.8627450980392162,debris_rock
1,218,197,-5.686274509803919,debris_rock
1,219,174,-7.9411764705882355,mixed_snow_ice
1,220,173,-8.03921568627451,mixed_snow_ice
1,221,149,-10.392156862745097,clean_glacier_ice
1,222,152,-10.098039215686274,clean_glacier_ice
2,0,141,-11.176470588235293,clean_glacier_ice
2,1,193,-6.078431372549019,debris_rock
2,2,173,-8.03921568627451,mixed_snow_ice
2,3,151,-10.196078431372548,clean_glacier_ice
2,4,196,-5.784313725490193,debris_rock
2,5,243,-1.176470588235297,debris_rock
2,6,223,-3.137254901960784,debris_rock
2,7,238,-1.6666666666666679,debris_rock
2,8,192,-6.1764705882352935,debris_rock
2,9,197,-5.686274509803919,debris_rock
2,10,216,-3.8235294117647065,debris_rock
2,11,206,-4.803921568627452,debris_rock
2,12,165,-8.823529411764707,mixed_snow_ice
2,13,229,-2.5490196078431353,debris_rock
2,14,230,-2.450980392156861,debris_rock
2,15,153,-10.0,clean_glacier_ice
2,16,209,-4.509803921568629,debris_rock
2,17,180,-7.352941176470587,mixed_snow_ice
2,18,191,-6.274509803921568,debris_rock
2,19,165,-8.823529411764707,mixed_snow_ice
2,20,193,-6.078431372549019,debris_rock
2,21,212,-4.215686274509803,debris_rock
2,22,208,-4.607843137254903,debris_rock
2,23,173,-8.03921568627451,mixed_snow_ice
2,24,196,-5.784313725490193,debris_rock
2,25,179,-7.450980392156865,mixed_snow_ice
2,26,184,-6.96078431372549,debris_rock
2,27,188,-6.56862745098039,debris_rock
2,28,171,-8.235294117647062,mixed_snow_ice
2,29,167,-8.627450980392158,mixed_snow_ice
2,30,194,-5.980392156862745,debris_rock
2,31,176,-7.745098039215687,mixed_snow_ice
2,32,190,-6.372549019607842,debris_rock
2,33,178,-7.549019607843139,mixed_snow_ice
2,34,160,-9.313725490196079,clean_glacier_ice
2,35,140,-11.274509803921568,clean_glacier_ice
2,36,190,-6.372549019607842,debris_rock
2,37,193,-6.078431372549019,debris_rock
2,38,205,-4.901960784313726,debris_rock
2,39,191,-6.274509803921568,debris_rock
2,40,191,-6.274509803921568,debris_rock
2,41,208,-4.607843137254903,debris_rock
2,42,204,-5.0,debris_rock
2,43,165,-8.823529411764707,mixed_snow_ice
2,44,196,-5.784313725490193,debris_rock
2,45,194,-5.980392156862745,debris_rock
2,46,181,-7.254901960784313,mixed_snow_ice
2,47,174,-7.9411764705882355,mixed_snow_ice
2,48,198,-5.588235294117645,debris_rock
2,49,165,-8.823529411764707,mixed_snow_ice
2,50,127,-12.549019607843137,regular_glacier_ice
2,51,99,-15.294117647058822,regular_glacier_ice
